#  i    j     Ez     Tz    Tzl
   1    1    3.7    3.7    3.7
   1    2    3.6    3.6    3.6
   1    3    3.5    3.5    3.5
   1    4    3.5    3.5    3.5
   1    5    3.7    3.7    3.7
   1    6    3.9    3.9    3.9
   1    7    3.8    3.8    3.8
   1    8    3.7    3.7    3.7
   1    9    3.7    3.7    3.7
   1   10    4.2    4.2    4.2
   1   11    4.2    6.1    4.2
   1   12    4.2    4.2    4.2
   1   13    4.2    4.2    4.2
   1   14    4.3    4.3    4.3
   1   15    4.4    4.4    4.4
   1   16    4.5    4.5    4.5
   1   17    4.6    4.6    4.6
   1   18    4.7    4.7    4.7
   1   19    5.6    5.6    5.6
   1   20    6.4    6.4    6.4
   1   21    6.7    6.7    6.7
   1   22    8.8    8.8    8.8
   1   23    6.1    6.1    6.1
   1   24    4.4    4.4    4.4
   1   25    4.6    4.6    4.6
   1   26    4.6    4.6    4.6
   1   27    4.6    4.6    4.6
   1   28    4.7    4.7    4.7
   1   29    4.8    4.8    4.8
   1   30    4.6    4.6    4.6
   1   31    3.9    3.9    3.9
   1   32    7.4    7.4    7.4
   1   33    5.8    5.8    5.8
   1   34    4.6    4.6    4.6
   1   35    5.0    5.0    5.0
   1   36    5.4    5.4    5.4
   1   37    5.5    5.5    5.5
   1   38    5.5    5.5    5.5
   1   39    5.5    5.5    5.5
   1   40    5.4    5.4    5.4
   1   41    5.3    5.3    5.3
   1   42    5.2    5.2    5.2
   1   43    5.3    5.3    5.3
   1   44    5.4    5.4    5.4
   1   45    5.4    5.4    5.4
   1   46    5.8    5.8    5.8
   1   47    5.7    5.7    5.7
   1   48    5.5    5.5    5.5
   1   49    5.3    5.3    5.3
   1   50    5.2    5.2    5.2
   1   51    5.2    5.2    5.2
   1   52    5.1    5.1    5.1
   1   53    5.2    5.2    5.2
   1   54    5.3    5.3    5.3
   1   55    5.3    5.3    5.3
   1   56    4.2    4.2    4.2
   1   57    3.9    3.9    3.9
   1   58    4.0    4.0    4.0
   1   59    3.9    3.9    3.9
   1   60    4.9    4.9    4.9
   1   61    6.4    6.4    6.4
   1   62    2.7    2.7    2.7
   1   63    2.1    2.1    2.1
   1   64    4.6    4.6    4.6
   1   65    4.3    4.3    4.3
   1   66    4.2    4.2    4.2
   1   67    8.2    8.2    8.2
   1   68    8.2    8.2    8.2
   1   69    8.3    8.3    8.3
   1   70   16.2   16.2   16.2
   1   71   20.5   20.5   20.5
   1   72   20.4   20.4   20.4
   1   73   20.0   20.0   20.0
   1   74   20.1   20.1   20.1
   1   75   20.1   20.1   20.1
   1   76   20.0   20.0   20.0
   1   77   20.0   20.0   20.0
   1   78   20.2   20.2   20.2
   1   79   20.2   20.2   20.2
   1   80   20.2   20.2   20.2
   1   81   20.1   20.1   20.1
   1   82   20.1   20.1   20.1
   1   83   20.0   20.0   20.0
   1   84   20.1   20.1   20.1
   1   85   20.0   20.0   20.0
   1   86   20.0   20.0   20.0
   1   87   20.0   20.0   20.0
   1   88   19.9   19.9   19.9
   1   89   19.7   19.7   19.7
   1   90   19.9   19.9   19.9
   1   91   20.1   20.1   20.1
   1   92   20.1   20.1   20.1
   1   93   19.9   19.9   19.9
   1   94   19.6   19.6   19.6
   1   95   18.7   18.7   18.7
   1   96   18.4   18.4   18.4
   1   97   19.3   19.3   19.3
   1   98    7.1    7.1    7.1
   1   99    2.9    2.9    2.9
   1  100    3.0    3.0    3.0
   2    1    3.5    3.5    3.5
   2    2    3.5    3.5    3.5
   2    3    3.6    3.6    3.6
   2    4    3.9    3.9    3.9
   2    5    3.9    3.9    3.9
   2    6    4.0    4.0    4.0
   2    7    3.8    3.8    3.8
   2    8    3.6    3.6    3.6
   2    9    3.9    3.9    3.9
   2   10    4.0    4.0    4.0
   2   11    4.2    4.2    4.2
   2   12    4.1    4.1    4.1
   2   13    4.0    4.0    4.0
   2   14    4.0    4.0    4.0
   2   15    4.1    4.1    4.1
   2   16    4.4    4.4    4.4
   2   17    4.6    4.6    4.6
   2   18    4.4    4.4    4.4
   2   19    4.3    4.3    4.3
   2   20    4.9    4.9    4.9
   2   21    5.3    5.3    5.3
   2   22    6.2    6.2    6.2
   2   23    4.9    4.9    4.9
   2   24    4.4    4.9    4.4
   2   25    4.4    4.4    4.4
   2   26    4.4    4.4    4.4
   2   27    4.4    4.4    4.4
   2   28    3.0    3.0    3.0
   2   29    4.0    4.0    4.0
   2   30    4.8    4.8    4.8
   2   31    5.0    5.0    5.0
   2   32    5.2    5.2    5.2
   2   33    5.0    5.0    5.0
   2   34    4.7    4.7    4.7
   2   35    5.0    5.0    5.0
   2   36    5.3    5.3    5.3
   2   37    5.4    5.4    5.4
   2   38    5.5    5.5    5.5
   2   39    5.5    5.5    5.5
   2   40    5.5    5.5    5.5
   2   41    5.4    5.4    5.4
   2   42    5.3    5.3    5.3
   2   43    5.1    5.1    5.1
   2   44    5.1    5.1    5.1
   2   45    5.4    5.4    5.4
   2   46    5.5    5.5    5.5
   2   47    5.5    5.5    5.5
   2   48    5.5    5.5    5.5
   2   49    5.5    5.5    5.5
   2   50    5.4    5.4    5.4
   2   51    5.3    5.3    5.3
   2   52    4.9    4.9    4.9
   2   53    4.8    4.8    4.8
   2   54    5.0    5.0    5.0
   2   55    4.9    4.9    4.9
   2   56    4.8    4.8    4.8
   2   57    4.6    4.6    4.6
   2   58    4.5    4.5    4.5
   2   59    4.1    4.1    4.1
   2   60    4.6    4.6    4.6
   2   61    4.2    4.2    4.2
   2   62    2.1    2.1    2.1
   2   63    2.3    2.3    2.3
   2   64    8.8    8.8    8.8
   2   65    9.5    9.5    9.5
   2   66    8.8    8.8    8.8
   2   67    7.8    7.8    7.8
   2   68    8.1    8.1    8.1
   2   69    9.7    9.7    9.7
   2   70   19.2   19.2   19.2
   2   71   20.1   20.1   20.1
   2   72   19.8   19.8   19.8
   2   73   20.0   20.0   20.0
   2   74   19.9   19.9   19.9
   2   75   19.7   19.7   19.7
   2   76   19.6   19.6   19.6
   2   77   19.8   19.8   19.8
   2   78   19.9   19.9   19.9
   2   79   19.8   19.8   19.8
   2   80   19.8   19.8   19.8
   2   81   19.8   19.8   19.8
   2   82   19.9   19.9   19.9
   2   83   19.9   19.9   19.9
   2   84   19.7   19.7   19.7
   2   85   19.8   19.8   19.8
   2   86   19.9   19.9   19.9
   2   87   20.2   20.2   20.2
   2   88   20.1   20.1   20.1
   2   89   19.8   19.8   19.8
   2   90   19.7   19.7   19.7
   2   91   19.9   19.9   19.9
   2   92   20.1   20.1   20.1
   2   93   19.2   19.2   19.2
   2   94   15.6   15.6   15.6
   2   95   17.3   17.3   17.3
   2   96   20.0   20.0   20.0
   2   97   18.5   18.5   18.5
   2   98    9.1    9.1    9.1
   2   99    3.2    3.2    3.2
   2  100    3.0    3.0    3.0
   3    1    3.2    3.2    3.2
   3    2    3.3    3.3    3.3
   3    3    3.7    3.7    3.7
   3    4    3.8    3.8    3.8
   3    5    3.9    3.9    3.9
   3    6    3.9    3.9    3.9
   3    7    3.6    3.6    3.6
   3    8    3.4    3.4    3.4
   3    9    3.4    3.4    3.4
   3   10    3.7    3.7    3.7
   3   11    4.0    4.0    4.0
   3   12    4.0    4.0    4.0
   3   13    3.9    3.9    3.9
   3   14    3.9    3.9    3.9
   3   15    4.0    4.0    4.0
   3   16    4.2    4.2    4.2
   3   17    4.2    6.8    4.2
   3   18    4.1    4.1    4.1
   3   19    4.1    4.1    4.1
   3   20    4.2    4.2    4.2
   3   21    4.3    4.3    4.3
   3   22    4.3    4.3    4.3
   3   23    4.2    4.2    4.2
   3   24    4.3    4.3    4.3
   3   25    4.2    4.2    4.2
   3   26    4.3    4.3    4.3
   3   27    3.3    3.3    3.3
   3   28    1.4    1.4    1.4
   3   29    1.4    1.4    1.4
   3   30    2.5    2.5    2.5
   3   31    5.5    5.5    5.5
   3   32    4.8    4.8    4.8
   3   33    4.8    4.8    4.8
   3   34    4.7    4.7    4.7
   3   35    4.7    4.7    4.7
   3   36    5.1    5.1    5.1
   3   37    5.3    5.3    5.3
   3   38    5.4    5.4    5.4
   3   39    5.5    5.5    5.5
   3   40    5.4    5.4    5.4
   3   41    5.3    5.3    5.3
   3   42    5.2    5.2    5.2
   3   43    5.0    5.0    5.0
   3   44    5.1    5.1    5.1
   3   45    5.3    5.3    5.3
   3   46    5.3    5.3    5.3
   3   47    5.3    5.3    5.3
   3   48    5.2    5.2    5.2
   3   49    5.3    5.3    5.3
   3   50    5.2    5.2    5.2
   3   51    5.2    5.2    5.2
   3   52    5.2    5.2    5.2
   3   53    5.3    5.3    5.3
   3   54    4.9    4.9    4.9
   3   55    4.8    4.8    4.8
   3   56    4.8    4.8    4.8
   3   57    4.9    4.9    4.9
   3   58    4.9    4.9    4.9
   3   59    5.1    5.1    5.1
   3   60    5.4    5.4    5.4
   3   61    2.8    2.8    2.8
   3   62    2.1    2.1    2.1
   3   63    2.5    2.5    2.5
   3   64   10.3   10.3   10.3
   3   65    7.6    7.6    7.6
   3   66    7.6    7.6    7.6
   3   67    7.5    7.5    7.5
   3   68    9.1    9.1    9.1
   3   69   18.9   18.9   18.9
   3   70   21.1   21.1   21.1
   3   71   19.5   19.5   19.5
   3   72   19.5   19.5   19.5
   3   73   19.7   19.7   19.7
   3   74   19.4   19.4   19.4
   3   75   19.3   19.3   19.3
   3   76   19.3   19.3   19.3
   3   77   19.3   19.3   19.3
   3   78   19.4   19.4   19.4
   3   79   19.7   19.7   19.7
   3   80   19.7   19.7   19.7
   3   81   19.7   19.7   19.7
   3   82   19.9   19.9   19.9
   3   83   20.0   20.0   20.0
   3   84   20.1   20.1   20.1
   3   85   20.4   20.4   20.4
   3   86   20.8   20.8   20.8
   3   87   20.8   20.8   20.8
   3   88   17.1   17.1   17.1
   3   89   18.1   18.1   18.1
   3   90   19.4   19.4   19.4
   3   91   19.8   19.8   19.8
   3   92   20.0   20.0   20.0
   3   93   15.5   15.5   15.5
   3   94   10.6   10.6   10.6
   3   95   11.1   11.1   11.1
   3   96   10.3   10.3   10.3
   3   97    5.2    5.2    5.2
   3   98    2.9    2.9    2.9
   3   99    2.9    2.9    2.9
   3  100    3.0    3.0    3.0
   4    1    2.8    2.8    2.8
   4    2    2.8    3.1    2.8
   4    3    2.4    2.4    2.4
   4    4    3.1    3.1    3.1
   4    5    3.7    3.7    3.7
   4    6    3.8    3.8    3.8
   4    7    3.6    3.6    3.6
   4    8    3.7    3.7    3.7
   4    9    3.9    3.9    3.9
   4   10    4.0    4.0    4.0
   4   11    3.7    3.7    3.7
   4   12    3.6    3.6    3.6
   4   13    3.9    3.9    3.9
   4   14    3.9    3.9    3.9
   4   15    3.9    4.2    3.9
   4   16    3.9    3.9    3.9
   4   17    3.9    3.9    3.9
   4   18    4.0    4.0    4.0
   4   19    3.7    3.7    3.7
   4   20    3.9    3.9    3.9
   4   21    4.2    4.2    4.2
   4   22    4.2    4.2    4.2
   4   23    4.2    7.2    4.2
   4   24    4.0    4.4    4.0
   4   25    4.0    4.0    4.0
   4   26    4.1    4.1    4.1
   4   27    2.0    2.0    2.0
   4   28    1.4    1.4    1.4
   4   29    1.4    1.4    1.4
   4   30    4.3    4.3    4.3
   4   31    6.9    6.9    6.9
   4   32    4.6    4.6    4.6
